,0
310,31.0
311,31.1
312,31.2
313,31.3
314,31.4
315,31.5
316,31.6
317,31.7
318,31.8
319,31.9
320,32.0
321,32.1
322,32.2
323,32.3
324,32.4
325,32.5
326,32.6
327,32.7
328,32.8
329,32.9
330,33.0
331,33.1
332,33.2
333,33.3
334,33.4
335,33.5
336,33.6
337,33.7
338,33.8
339,33.9
340,34.0
341,34.1
342,34.2
343,34.3
344,34.4
345,34.5
346,34.6
347,34.7
348,34.8
349,34.9
350,35.0
351,35.1
352,35.2
353,35.3
354,35.4
355,35.5
356,35.6
357,35.7
358,35.8
359,35.9
360,36.0
361,36.1
362,36.2
363,36.3
364,36.4
365,36.5
366,36.6
367,36.7
368,36.8
369,36.9
370,37.0
371,37.1
372,37.2
373,37.3
374,37.4
375,37.5
376,37.6
377,37.7
378,37.8
379,37.9
380,38.0
381,38.1
382,38.2
383,38.3
384,38.4
385,38.5
386,38.6
387,38.7
388,38.8
389,38.9
390,39.0
391,39.1
392,39.2
393,39.3
394,39.4
395,39.5
396,39.6
397,39.7
398,39.8
399,39.9
400,40.0
401,40.1
402,40.2
403,40.3
404,40.4
405,40.5
406,40.6
407,40.7
408,40.8
409,40.9
410,41.0
411,41.1
412,41.2
413,41.3
414,41.4
415,41.5
416,41.6
417,41.7
418,41.8
419,41.9
420,42.0
421,42.1
422,42.2
423,42.3
424,42.4
425,42.5
426,42.6
427,42.7
428,42.8
429,42.9
430,43.0
431,43.1
432,43.2
433,43.3
434,43.4
435,43.5
436,43.6
437,43.7
438,43.8
439,43.9
440,44.0
441,44.1
442,44.3
443,44.4
444,44.5
445,44.6
446,44.7
447,44.9
448,45.0
449,45.1
450,45.3
451,45.4
452,45.5
453,45.6
454,45.7
455,45.9
456,46.7
457,47.1
458,47.8
459,48.6
460,48.8
461,49.0
462,49.2
463,49.4
464,49.9
465,50.9
466,52.5
